pub,sub,sent_at,received_at,latency
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:41.904326,195.549
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:42.905428,196.651
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:43.907937,199.16
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:44.909319,200.542
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:45.911951,203.174
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:46.914443,205.666
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:47.916731,207.954
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:48.919115,210.338
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:49.921015,212.238
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:50.923987,215.21
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:51.926518,217.741
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:52.928861,220.084
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:53.931419,222.642
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:54.933537,224.76
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:55.936377,227.6
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:56.940035,231.258
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:57.941002,232.225
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:58.943643,234.866
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:11:59.946232,237.455
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:00.948036,239.259
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:01.948995,240.218
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:02.969049,260.272
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:03.964212,255.435
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:04.965812,257.035
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:06.754148,45.371
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:07.758144,49.367
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:08.761922,53.145
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:09.788444,79.667
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:10.804630,95.853
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:11.793332,84.555
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:12.806416,97.639
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:13.805722,96.945
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:14.816557,107.78
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:16.753081,44.304
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:17.008512,299.735
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:18.751098,42.321
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:19.753793,45.016
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:20.892556,183.779
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:22.783333,74.556
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:23.785249,76.472
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:24.793014,84.237
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:25.795003,86.226
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:26.801081,92.304
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:27.873262,164.485
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:29.759201,50.424
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:30.766616,57.839
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:32.760731,51.954
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:33.781148,72.371
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:34.766605,57.828
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:35.780497,71.72
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:36.979982,271.205
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:38.904392,195.615
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:39.767918,59.141
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:40.839144,130.367
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:41.785483,76.706
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:42.781887,73.11
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:43.790528,81.751
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:44.794612,85.835
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:45.799197,90.42
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:46.802246,93.469
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:47.804921,96.144
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:48.808941,100.164
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:49.813367,104.59
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:50.819836,111.059
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:51.830066,121.289
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:52.881157,172.38
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:53.894077,185.3
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:55.018866,310.089
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:56.020775,311.998
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:57.758755,49.978
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:12:58.901172,192.395
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:00.766902,58.125
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:01.779289,70.512
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:02.773820,65.043
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:03.775924,67.147
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:05.753097,44.32
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:07.097603,388.826
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:07.881581,172.804
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:09.511160,802.383
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:10.751825,43.048
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:11.754873,46.096
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:14.747952,39.175
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:15.816384,107.607
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:15.902770,193.993
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:17.755002,46.225
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:18.787858,79.081
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:19.782219,73.442
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:21.765867,57.09
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:22.761166,52.389
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:23.761815,53.038
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:24.958453,249.676
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:25.961604,252.827
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:26.975617,266.84
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:28.565486,856.709
